คุณภาพน้ำทะเล,ชายฝั่งทะเล,ปี,จำนวน
ปริมาณออกซิเจนละลายน้ำมก./ล.,    เพชรบุรี,2544,2.4 - 7.6
ปริมาณออกซิเจนละลายน้ำมก./ล.,    เพชรบุรี,2545,         3.4 - 7.6
ปริมาณออกซิเจนละลายน้ำมก./ล.,    เพชรบุรี,2546,3.5-7.7
ปริมาณออกซิเจนละลายน้ำมก./ล.,    เพชรบุรี,2547,5.0-8.3
ปริมาณออกซิเจนละลายน้ำมก./ล.,    เพชรบุรี,2548,4.9 - 7.0
ปริมาณออกซิเจนละลายน้ำมก./ล.,    เพชรบุรี,2549,4.0 - 8.7
ปริมาณออกซิเจนละลายน้ำมก./ล.,    เพชรบุรี,2550,3.3 - 7.6
ปริมาณออกซิเจนละลายน้ำมก./ล.,    เพชรบุรี,2551,5.44 - 7.66
ปริมาณออกซิเจนละลายน้ำมก./ล.,    เพชรบุรี,2552,4.12 - 7.01
ปริมาณออกซิเจนละลายน้ำมก./ล.,    เพชรบุรี,2553,1.5-6.67
ปริมาณออกซิเจนละลายน้ำมก./ล.,    เพชรบุรี,2554,2.30 - 6.68
ปริมาณออกซิเจนละลายน้ำมก./ล.,    เพชรบุรี,2555,3.77-7.48
ปริมาณออกซิเจนละลายน้ำมก./ล.,    เพชรบุรี,2556,2.14-3.27
ปริมาณออกซิเจนละลายน้ำมก./ล.,    เพชรบุรี,2557,3.21 - 6.01
ปริมาณออกซิเจนละลายน้ำมก./ล.,    เพชรบุรี,2558,1.15 - 5.91
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดชะอำ,2541,4.3 - 7.1
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดชะอำ,2542,5.2 - 7.4
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดชะอำ,2543,6.0 - 7.7
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดชะอำ,2544,3.4 - 6.5
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดชะอำ,2545,         6.0 - 6.8
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดชะอำ,2546,6.1-6.4
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดชะอำ,2547,6.1-6.7
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดชะอำ,2548,5.8 - 6.8
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดชะอำ,2549,6.3 - 6.9
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดชะอำ,2550,6.2 - 7.6
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดชะอำ,2551,6.80 - 7.67
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดชะอำ,2552,6.18 - 6.57
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดชะอำ,2553,3.34-6.30
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดชะอำ,2554,4.42 - 5.72
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดชะอำ,2555,5.07-5.56
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดชะอำ,2556,0.13-4.76
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดชะอำ,2557,5.76 - 6.35
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดชะอำ,2558,5.45 - 5.91
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดหัวหิน,2541,5.8 - 7.3
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดหัวหิน,2542,6.3 - 7.6
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดหัวหิน,2543,5.8 - 8.3
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดหัวหิน,2544,3.5 - 8.1
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดหัวหิน,2545,         6.1 - 6.4
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดหัวหิน,2546,6.3-7.1
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดหัวหิน,2547,6.0-7.8
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดหัวหิน,2548,6.2 - 7.3
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดหัวหิน,2549,5.3 - 7.4
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดหัวหิน,2550,5.4 - 6.7
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดหัวหิน,2551,6.55 - 8.50
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดหัวหิน,2552,5.5 - 8.13
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดหัวหิน,2553,2.23-7.00
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดหัวหิน,2554,3.45 - 6.34
